B01001_001E,B01001B_001E,B01001C_001E,B01001D_001E,B01001E_001E,B01001F_001E,B01001G_001E,B03002_003E,B03002_013E,state,county,tract
4716,1015,71,132,0,576,94,2112,716,09,003,510700
5415,1386,42,250,0,409,178,2678,472,09,003,514600
3693,611,0,426,0,213,122,1787,534,09,003,496700
3411,89,0,135,0,0,123,2916,148,09,003,492100
5784,410,11,493,37,156,391,3928,358,09,003,492300
3153,2,0,182,0,69,38,2731,131,09,003,492400
4703,135,0,382,0,32,206,3797,151,09,003,494201
2665,2,0,162,0,1,32,2335,133,09,003,496500
5151,345,61,480,0,82,79,3935,169,09,003,497300
3571,86,0,483,0,20,115,2780,87,09,003,487202
3575,44,23,295,0,8,69,3050,86,09,003,514101
7957,1020,40,3368,0,368,319,2255,587,09,003,514102
4270,175,5,382,0,167,128,3234,179,09,003,520301
4141,80,72,355,0,305,68,3141,120,09,003,520302
6329,630,4,306,0,80,197,4984,128,09,003,524200
6649,1464,75,84,0,618,300,3879,229,09,003,524300
3160,2183,11,0,0,371,193,23,379,09,003,524400
2212,679,0,24,0,233,286,751,239,09,003,524501
2264,687,0,46,0,111,95,978,347,09,003,524502
3038,1685,11,488,0,166,148,331,209,09,003,524600
3618,572,0,0,0,744,183,612,1507,09,003,524700
0,0,0,0,0,0,0,0,0,09,003,980000
4499,299,38,64,0,70,211,3316,501,09,005,310803
2933,86,0,52,0,176,48,2329,242,09,005,310804
2699,46,0,16,0,0,72,2521,44,09,005,425600
3093,153,19,100,0,6,139,2577,99,09,007,541401
5788,679,1,340,0,62,97,4041,568,09,007,541402
3996,15,0,54,8,1,51,3747,120,09,007,550201
3182,83,0,17,0,8,12,3059,3,09,007,550202
3850,0,0,0,0,9,28,3805,8,09,007,595101
5182,60,0,77,0,129,127,4682,107,09,007,595102
6276,873,0,135,0,26,253,4713,276,09,007,680200
0,0,0,0,0,0,0,0,0,09,007,990100
3234,57,24,0,0,0,0,3035,118,09,011,714101
1070,37,0,12,0,0,41,949,31,09,011,702600
3630,49,0,125,0,31,82,3298,45,09,011,705300
1842,16,4,8,0,13,42,1723,36,09,011,712100
5789,638,0,368,0,311,329,4069,74,09,011,716101
4185,70,4,23,0,41,27,3871,149,09,011,660102
4766,472,38,236,0,139,473,3221,187,09,011,696100
6239,166,44,66,0,18,306,5615,24,09,011,709100
5517,53,0,443,0,231,27,4603,160,09,011,716102
5496,950,0,670,0,25,783,2594,474,09,011,696700
5931,44,104,99,0,56,403,5052,173,09,011,695202
5077,377,121,631,0,112,591,2753,492,09,011,697000
4126,129,30,212,0,56,14,3658,27,09,011,715100
4875,131,115,567,0,257,218,3335,252,09,011,702700
4074,0,0,29,0,35,61,3582,367,09,007,610300
3209,711,0,121,0,28,159,1950,240,09,007,541700
3581,2,0,245,0,18,99,3114,103,09,009,190200
5988,1029,46,364,0,481,240,3719,109,09,009,343101
6565,241,0,804,0,164,48,5259,49,09,009,343400
5074,887,0,343,10,652,375,2309,498,09,009,351500
1653,465,0,28,0,124,10,480,546,09,009,170200
6726,776,4,18,0,257,92,3504,2075,09,009,170800
2533,525,0,32,0,307,139,496,1034,09,009,171500
4212,154,17,104,0,89,44,3287,517,09,009,171700
2353,33,0,15,0,142,28,2032,103,09,009,175200
3443,1194,30,45,0,668,249,645,612,09,009,140400
1535,539,22,16,0,279,6,500,173,09,009,142100
5384,1274,9,34,0,1603,166,582,1716,09,009,142300
4482,247,0,297,0,0,128,3749,61,09,009,150100
3860,74,8,531,0,43,91,3039,74,09,009,150800
4877,217,0,188,0,33,50,3935,454,09,009,154800
3838,484,0,59,0,97,33,2430,735,09,009,154900
5031,861,0,72,0,669,237,2543,649,09,009,155000
8066,318,0,615,0,6,188,6663,276,09,009,167100
6579,185,2,70,0,30,235,5204,853,09,009,170500
8760,540,145,293,0,48,256,6846,632,09,009,171200
7552,220,0,416,0,0,71,6845,0,09,009,175500
6794,234,41,104,0,165,911,5174,165,09,009,180100
2517,39,0,31,0,0,52,2365,30,09,009,184500
2022,382,0,0,0,153,75,698,714,09,009,170900
2692,42,0,0,0,0,105,2423,122,09,009,180601
3995,1599,107,59,0,585,64,1164,417,09,001,072700
2072,814,0,63,0,162,85,380,568,09,001,073000
3649,1330,0,60,0,1130,252,195,682,09,001,073900
6057,3351,0,75,0,801,0,1226,604,09,001,080400
4826,444,11,38,41,88,158,3293,753,09,001,080900
6080,635,76,167,0,1736,57,2799,610,09,001,210600
5417,618,10,257,0,357,485,3543,147,09,001,211400
3834,39,9,90,0,314,82,3241,59,09,001,230300
6446,59,0,262,0,0,165,5883,77,09,001,245600
5482,2916,106,0,0,522,421,218,1299,09,001,072800
4675,2486,10,201,0,724,129,478,647,09,001,072900
3389,1167,0,9,0,886,331,73,923,09,001,073500
2240,698,28,0,0,719,216,90,489,09,001,073800
4709,446,0,31,0,141,196,3655,240,09,001,080800
3489,39,0,190,0,52,10,3095,103,09,001,090100
6691,804,85,342,0,95,398,4233,734,09,001,090400
4057,0,0,79,0,28,0,3784,166,09,001,105100
5620,233,49,243,48,2202,151,1445,1249,09,001,210100
6118,515,33,303,0,2356,287,1851,773,09,001,210200
5322,62,0,53,0,61,120,4766,260,09,001,220100
2878,65,0,85,0,11,71,2599,47,09,001,245100
4445,43,0,245,0,17,141,3731,268,09,001,245200
3641,0,19,122,0,74,30,3318,78,09,001,257100
8850,3,0,608,0,27,308,7432,472,09,001,050300
3968,29,0,115,0,0,53,3679,92,09,001,060300
3057,139,0,413,28,250,96,1792,339,09,001,061400
2065,596,0,125,0,431,166,363,384,09,001,070500
3618,1056,22,34,0,620,106,1156,624,09,009,142603
5030,105,0,49,0,204,55,4251,366,09,009,130101
2866,196,0,29,0,7,42,2426,166,09,009,130102
3093,853,7,25,0,405,29,745,1029,09,009,142604
4157,88,0,16,0,40,86,3756,171,09,009,348122
5870,3,0,179,0,0,144,5187,357,09,009,348123
2608,5,11,88,0,12,14,2402,76,09,009,348124
4437,165,0,203,0,0,0,4012,57,09,009,348125
3907,513,1,846,15,87,129,2031,285,09,009,361401
2775,247,5,534,0,96,153,1530,210,09,009,361402
6096,58,0,324,0,176,23,5064,451,09,003,420600
4012,106,1,16,0,0,33,3777,79,09,003,430400
3287,48,1,345,0,9,45,2591,248,09,003,460100
3964,2517,19,136,0,59,239,953,41,09,003,471500
1703,323,0,15,0,98,50,1144,73,09,003,473400
4244,957,0,360,0,30,201,2516,180,09,003,473501
3405,22,25,95,0,42,191,2718,312,09,003,480500
6525,50,0,120,0,6,199,5725,425,09,003,492600
2279,212,0,120,0,43,10,1813,81,09,003,497200
2237,60,6,95,0,18,53,1961,44,09,003,497600
1465,412,73,433,0,192,86,193,76,09,003,500500
991,370,20,0,0,244,10,347,0,09,003,500700
6300,417,0,72,0,393,15,4947,456,09,009,120100
4903,370,0,0,0,124,93,4083,233,09,009,125100
5627,994,0,78,0,466,100,3132,857,09,009,125200
4921,523,0,203,23,470,891,2406,405,09,009,125300
8626,196,0,170,0,486,101,6400,1273,09,009,130200
2695,926,13,65,0,497,187,386,621,09,009,140300
4362,289,17,77,0,33,51,3710,185,09,009,150500
2999,338,27,147,0,281,130,1829,247,09,009,155100
4523,2800,35,27,0,389,177,779,316,09,009,165500
1736,157,0,86,0,122,109,817,445,09,009,170400
1311,183,0,0,0,133,74,570,351,09,009,171000
4155,536,0,66,0,225,88,3122,118,09,009,345202
5401,46,0,175,0,14,265,4840,61,09,009,194202
4036,884,0,76,0,283,293,2355,145,09,009,141000
4955,432,0,10,0,67,38,4124,284,09,001,081100
5421,149,0,466,0,155,0,4280,371,09,001,090700
6178,47,34,34,0,230,34,5602,197,09,001,230400
4332,0,0,320,0,20,39,3922,31,09,001,050100
7172,158,13,299,0,22,110,6067,503,09,001,020300
5867,537,6,214,0,198,59,4674,179,09,001,010400
4455,85,30,369,0,10,89,3778,94,09,001,030400
5177,2035,0,61,0,877,282,1079,843,09,001,071900
3628,259,0,404,0,49,240,2490,186,09,003,497500
4058,733,26,230,66,1672,196,54,1081,09,003,500100
1685,368,17,19,0,496,141,209,435,09,003,500400
4630,885,9,176,0,1283,349,731,1197,09,003,504800
2885,649,4,50,3,218,69,1780,112,09,003,503800
4147,1665,0,36,0,459,215,806,966,09,003,510300
4527,1949,0,246,0,592,246,698,796,09,003,510600
2303,434,0,173,0,82,17,1263,334,09,003,511400
6305,1065,102,0,0,1155,173,910,2900,09,003,510400
2970,1559,0,21,0,425,262,146,557,09,003,503300
2440,1820,0,0,0,183,172,38,227,09,003,501400
3710,843,0,175,0,1217,219,576,680,09,003,502600
5218,913,12,119,0,1239,358,1730,847,09,003,502700
2528,2179,0,8,0,133,123,47,38,09,003,503700
6052,165,0,28,0,1,95,5620,143,09,003,400200
3494,1319,133,59,0,559,77,624,723,09,003,511200
4652,4112,0,0,0,99,265,114,62,09,003,503900
3283,21,0,142,0,13,69,2963,75,09,001,090600
5751,73,0,76,0,0,0,5393,209,09,001,110500
5686,213,18,85,29,41,72,5097,131,09,001,200302
5939,490,15,670,0,1353,252,2379,780,09,001,210300
5973,768,0,365,19,472,199,3782,368,09,001,210800
4297,743,0,151,0,416,318,2268,401,09,001,211000
4658,68,0,57,0,12,29,4396,96,09,001,240100
4551,11,0,57,0,111,149,4075,148,09,001,240200
3084,0,0,43,0,6,0,3011,24,09,001,245400
3614,14,0,27,16,107,118,3210,122,09,001,220300
3129,27,0,41,0,53,154,2583,271,09,001,245500
5289,11,0,647,0,77,69,4094,391,09,001,010202
5006,1210,62,439,0,353,132,2549,261,09,001,020100
3809,129,0,476,0,188,98,2629,289,09,001,020400
4898,464,0,532,0,69,153,2529,1151,09,001,020900
3681,257,28,247,0,117,216,2668,148,09,001,021000
5941,994,0,330,0,702,149,2582,1184,09,001,021900
7843,1379,31,115,0,2473,66,2290,1489,09,001,022100
5568,1634,0,164,0,1527,116,1169,958,09,001,022300
4254,34,0,97,0,21,9,4028,65,09,001,030300
7870,203,0,296,0,36,159,6546,630,09,001,035100
5298,17,9,183,0,0,121,4872,96,09,001,035400
3550,13,9,0,0,0,7,3375,146,09,001,044600
3469,0,0,117,0,0,180,3114,58,09,001,050600
4777,93,0,112,0,0,104,4285,183,09,001,055200
5315,0,0,109,0,22,71,4928,185,09,001,061600
1403,555,0,0,0,241,68,8,531,09,001,070300
3785,1220,132,214,0,808,386,149,876,09,001,071000
4616,1852,41,183,0,696,203,560,1081,09,001,071100
3124,0,0,81,0,0,15,2978,50,09,001,080500
9648,888,0,685,0,2609,487,4054,925,09,001,210400
4081,617,0,107,0,95,84,2873,305,09,001,081000
5931,933,18,1350,0,139,244,2975,272,09,003,515102
1561,1172,0,0,0,187,55,9,138,09,003,503500
2933,62,0,64,0,0,33,2733,41,09,003,481300
4085,180,12,159,0,28,99,3498,109,09,003,497400
3997,1682,9,248,0,695,263,800,300,09,003,503100
3573,1179,0,208,0,388,121,566,1111,09,001,072000
5887,1562,36,568,0,144,240,2185,1152,09,001,072100
4030,651,0,124,0,3,147,3035,70,09,007,542000
3234,182,0,40,0,26,91,2822,73,09,007,570200
5944,305,0,172,0,37,23,4956,451,09,007,570300
4268,32,0,82,0,12,0,4030,112,09,007,600100
3680,23,0,28,0,31,149,3182,267,09,007,610200
6414,28,0,71,0,30,66,6183,36,09,007,640100
5838,2,0,0,0,0,69,5734,33,09,007,560100
4493,149,8,59,0,55,85,4058,79,09,007,620100
1285,227,62,65,0,65,10,694,162,09,007,541600
7248,7,0,44,0,0,112,6990,95,09,007,585100
2060,10,21,35,0,0,0,1948,46,09,007,610100
6599,241,0,122,0,1,152,5861,222,09,007,630100
3700,670,0,128,0,34,59,2593,216,09,007,542100
5678,75,105,273,0,19,28,4957,221,09,007,550100
3524,42,0,24,0,61,66,3280,51,09,007,560200
4795,394,0,240,0,53,56,3378,674,09,007,570100
4385,4,0,78,0,20,20,4228,35,09,007,580100
8267,82,0,273,0,0,31,7670,211,09,007,590100
3162,23,0,33,0,95,0,2667,344,09,007,610400
4762,11,0,189,0,74,187,4186,115,09,007,670100
4965,80,95,149,0,181,19,4221,220,09,003,466300
4548,556,0,263,0,601,576,2220,332,09,003,480600
7403,343,0,0,0,532,247,5456,825,09,003,405600
4372,940,49,26,0,451,289,1901,716,09,003,406100
3073,583,0,40,0,309,150,872,1119,09,003,415500
5045,24,0,101,0,11,52,4677,180,09,003,430202
2769,84,0,575,0,0,16,2017,77,09,003,462202
4871,42,0,161,14,21,72,4464,97,09,003,466102
4032,15,0,140,0,58,56,3754,9,09,003,468102
5847,2995,0,132,0,412,57,1940,311,09,003,473700
1827,1129,0,259,29,48,37,250,75,09,003,473800
4401,1939,2,31,14,727,199,340,1149,09,001,073700
5662,1634,0,0,0,564,65,2023,1376,09,001,072500
2602,78,0,128,0,32,14,2019,331,09,001,110100
7052,494,0,1083,0,633,153,3827,862,09,001,211200
3501,2,0,141,0,40,56,3133,129,09,001,105200
5261,176,6,328,0,456,56,4013,226,09,001,210900
4729,405,8,279,0,1,90,3732,214,09,003,476100
2829,53,0,0,0,0,119,2615,42,09,003,477200
4689,245,175,109,0,83,332,3663,82,09,003,480800
5675,189,0,1175,0,53,90,3981,187,09,003,490100
5662,438,40,398,0,75,175,4186,350,09,003,494100
4903,89,0,191,0,361,266,3851,145,09,003,494400
4499,96,0,332,0,43,82,3825,121,09,003,497700
3169,1292,10,0,0,882,211,67,707,09,003,501800
2189,739,3,11,0,507,276,266,387,09,003,502500
3128,2917,0,9,0,0,128,54,20,09,003,504000
4784,1152,0,30,0,1239,265,686,1412,09,003,504900
6681,54,0,1004,0,32,395,5048,148,09,003,487500
3466,313,21,204,0,109,68,2600,151,09,003,494600
2921,544,0,490,0,197,79,733,878,09,003,496100
4626,131,12,572,0,229,185,3059,438,09,003,496200
3081,654,0,71,0,1066,81,606,603,09,003,504300
3300,497,0,287,0,175,172,1753,416,09,003,511100
4285,73,0,39,0,0,84,3975,114,09,003,410102
3134,24,49,466,0,209,73,2284,29,09,003,460203
6332,174,0,968,0,4,95,4808,283,09,003,460204
4466,36,0,137,0,0,54,4065,174,09,003,497000
2204,628,7,27,0,540,70,298,634,09,003,500300
3041,2525,0,0,0,211,70,59,176,09,003,501500
5211,1059,0,391,0,634,476,1954,697,09,003,504200
1743,605,27,49,0,271,303,0,488,09,003,501700
2867,773,49,123,0,729,173,496,524,09,003,502900
1648,377,0,42,0,321,8,144,756,09,003,504100
2653,954,17,214,0,331,37,802,298,09,003,510200
3112,492,36,137,0,157,191,1879,220,09,003,514200
4603,624,0,599,0,189,133,2619,439,09,003,514500
3078,2,0,133,0,90,95,2603,155,09,003,515200
8179,62,0,541,0,78,169,7108,221,09,003,520400
8083,2459,16,323,0,811,536,2811,1127,09,009,361500
7593,88,16,324,0,56,225,6807,77,09,011,714103
0,0,0,0,0,0,0,0,0,09,009,990000
4334,22,18,43,0,26,51,3927,247,09,011,705101
4239,193,0,89,0,10,215,3692,40,09,011,705102
5100,103,6,54,0,118,140,4548,131,09,011,714104
5467,769,0,90,0,2,437,3632,537,09,011,870200
6442,917,0,179,0,1102,526,3097,621,09,011,870300
4277,97,131,781,0,308,257,2569,134,09,011,870501
3741,560,5,52,0,298,296,2385,145,09,011,870502
2026,6,0,90,0,53,3,1744,130,09,011,870701
1665,21,0,58,0,13,105,1416,52,09,011,870703
3769,26,0,0,0,0,126,3569,48,09,011,870704
4575,8,0,138,0,11,39,4314,65,09,013,526101
4947,16,0,57,0,32,58,4749,35,09,013,526102
3630,16,13,67,0,6,122,3299,107,09,013,890201
5262,58,0,12,0,27,182,4879,104,09,013,890202
2739,339,41,62,0,21,239,1738,299,09,011,980000
0,0,0,0,0,0,0,0,0,09,011,990100
5454,36,43,348,0,0,398,4523,106,09,011,709200
2553,484,9,107,23,401,178,985,366,09,011,690500
1219,238,0,0,0,42,174,481,284,09,011,690700
4755,94,0,551,0,158,176,3668,108,09,011,696200
2921,330,31,29,0,66,294,2056,115,09,011,696500
2329,0,17,11,0,18,88,2092,103,09,015,815000
1861,6,13,7,0,11,51,1736,37,09,015,820000
7813,0,0,37,0,0,100,7485,191,09,015,901100
7138,43,0,0,0,0,309,6695,91,09,015,904100
4085,45,0,56,0,51,51,3748,134,09,015,904400
8243,192,14,197,0,26,220,7534,60,09,015,905100
1653,0,0,1,0,23,10,1578,41,09,015,825000
4748,98,40,0,0,0,122,4419,69,09,015,907100
4833,173,0,83,0,89,184,4217,87,09,015,907300
3315,256,0,147,0,770,167,1661,314,09,011,690800
5551,242,0,22,0,40,207,4840,200,09,011,693300
4666,38,29,270,0,20,294,3972,43,09,011,700100
3514,748,82,39,0,910,169,189,1377,09,003,504500
2085,617,15,96,0,175,46,662,474,09,003,510100
2987,163,0,469,0,29,71,2059,196,09,003,417400
7294,150,47,170,0,227,68,6230,402,09,003,405800
4917,545,43,0,0,1084,210,925,2110,09,003,416100
1500,189,0,146,0,32,77,684,372,09,003,417200
4721,122,300,34,0,291,134,3760,80,09,003,420500
3620,37,0,33,0,29,90,3156,275,09,003,420700
4492,175,0,71,0,180,42,3739,285,09,003,430100
4458,18,0,129,0,94,46,4089,82,09,003,430203
3585,0,0,34,0,0,49,3463,39,09,003,430301
6904,56,0,5,0,55,189,6448,151,09,007,680100
2583,731,0,241,0,216,112,909,374,09,007,541100
5087,581,0,330,0,21,202,3554,399,09,007,541200
6396,911,48,743,0,67,242,3971,414,09,007,541300
3414,440,0,569,0,36,127,2105,137,09,007,541500
5356,72,0,145,0,0,45,4731,363,09,007,670200
1612,131,0,34,0,6,62,1370,9,09,007,542200
6741,792,0,122,0,488,208,4784,347,09,013,530200
5761,352,0,622,0,2,157,4404,224,09,013,881500
3871,58,0,20,0,0,88,3653,52,09,013,890100
3409,845,0,59,0,59,76,1919,451,09,009,125400
3514,381,0,569,0,209,145,1895,315,09,009,140100
935,420,0,0,0,159,23,236,97,09,009,140200
6036,4831,0,25,0,468,133,171,408,09,009,141500
5045,2845,18,223,0,504,226,957,272,09,009,141600
4667,882,0,891,0,358,233,1888,415,09,009,141800
7025,91,0,370,0,82,188,6211,83,09,009,343300
3295,18,0,59,0,10,143,3010,55,09,009,190303
7713,18,0,254,0,16,190,7040,195,09,009,194201
6115,113,0,42,0,0,68,5746,146,09,009,341100
4943,66,17,193,0,157,117,4351,42,09,009,344100
2718,11,0,252,0,58,28,2289,80,09,009,344200
6342,780,0,314,0,100,462,4211,475,09,009,345300
6446,171,0,97,0,139,792,4809,438,09,009,345400
5944,381,0,0,0,53,91,5136,283,09,009,347100
3688,416,0,285,0,46,406,2322,213,09,011,702400
2217,3,0,0,0,12,16,2095,91,09,011,702900
5242,96,21,91,0,1,418,4520,95,09,011,707100
6475,1486,43,63,0,1744,377,1650,1112,09,011,690300
4886,293,0,3,0,241,521,3639,189,09,011,690900
4016,50,10,244,0,172,178,3233,129,09,011,693400
3428,212,0,21,0,23,61,3056,55,09,011,693500
2903,10,5,22,0,23,96,2616,131,09,005,296100
2015,34,0,4,0,8,0,1828,141,09,005,300400
4613,83,0,341,0,70,198,3663,258,09,003,487201
1518,92,5,157,0,57,66,1082,59,09,009,142200
6149,1698,28,104,0,1294,451,1458,1116,09,009,142601
4554,40,0,264,0,2,26,3974,248,09,009,150700
3232,70,0,161,0,0,43,2731,227,09,009,151200
7740,2548,0,690,0,251,319,2181,1751,09,009,154100
4789,903,0,292,0,537,142,2529,386,09,009,154600
3317,67,0,278,0,14,0,2899,59,09,009,157300
3792,134,0,26,0,15,106,3430,81,09,009,347200
6862,288,0,117,0,0,30,6222,205,09,009,346101
2805,521,31,58,0,324,28,1291,552,09,009,352701
4453,75,0,84,0,12,23,4179,80,09,009,361300
3340,0,0,69,0,5,16,3196,54,09,009,184400
5145,2373,14,0,0,1042,121,618,977,09,009,140600
3857,2300,10,62,0,630,166,445,244,09,009,140800
4125,1042,25,129,0,548,136,2036,209,09,009,165100
4234,1216,0,202,0,41,95,2388,292,09,009,165802
7978,878,0,457,0,24,114,6010,495,09,009,165900
6795,902,0,633,0,363,291,4417,189,09,009,166001
4966,852,33,5,0,165,105,2969,837,09,009,171600
4410,67,0,406,0,26,57,3406,448,09,009,175300
4928,111,10,96,0,11,64,4516,120,09,009,175600
5924,15,0,147,0,0,0,5530,232,09,009,176000
7163,602,24,346,0,331,16,5292,552,09,009,345100
3049,1069,30,12,0,817,90,264,767,09,009,350200
3284,673,0,100,0,29,98,1560,824,09,009,352500
5453,236,0,162,10,19,91,4480,455,09,009,361200
2221,827,0,3,0,94,153,590,554,09,009,350900
1784,627,0,0,0,291,90,176,600,09,009,350300
3956,982,44,142,0,359,196,986,1247,09,009,351000
2977,994,0,0,0,21,64,968,930,09,009,352300
6746,175,0,0,0,408,122,5977,64,09,009,361100
5845,404,14,151,0,198,57,4235,786,09,009,171100
2564,46,0,234,0,2,173,2092,17,09,009,157100
4456,2427,38,126,0,260,109,1295,201,09,009,140900
3017,1221,0,259,0,67,91,1200,179,09,009,141100
2894,213,0,435,0,139,56,1946,105,09,009,142000
5504,68,0,406,0,0,201,4473,356,09,009,161100
5768,1710,0,797,0,262,30,2635,334,09,009,165801
5845,132,0,417,17,155,269,4657,198,09,001,205300
899,387,28,10,0,63,23,318,70,09,001,211100
5056,45,0,55,0,207,98,4507,144,09,001,220200
2897,1,0,2,0,3,55,2752,84,09,003,430302
3513,1191,9,184,0,251,150,981,747,09,003,511300
2927,1866,19,0,0,301,170,143,428,09,003,501200
6211,918,0,9,0,2864,170,867,1383,09,003,502400
3528,131,0,367,0,75,84,2796,75,09,003,520201
4095,26,0,287,0,2,29,3642,109,09,003,520202
7061,41,0,100,0,29,138,6485,268,09,003,400300
4428,174,0,108,0,40,145,3752,209,09,003,406002
6732,532,0,293,154,261,319,2989,2184,09,003,416700
3685,37,4,235,0,21,84,3026,278,09,003,460302
5320,259,0,129,0,36,118,4530,248,09,003,464101
4537,71,0,101,0,3,0,4143,219,09,003,466101
5272,1620,0,272,0,49,154,3073,104,09,003,471400
8722,1432,17,317,0,574,272,5892,218,09,003,477102
2239,40,0,79,0,0,43,2041,36,09,003,480900
8133,237,0,2042,0,87,327,5317,123,09,003,490302
3366,207,0,96,0,42,69,2842,110,09,003,492500
4548,247,14,153,0,403,274,3265,192,09,003,494500
2722,44,0,311,0,87,22,2186,72,09,003,496600
3173,312,0,352,0,305,220,1514,470,09,003,496800
4268,146,1,350,0,326,174,3062,209,09,009,184200
2736,0,0,0,0,0,36,2690,10,09,009,184600
